time,split,epoch,step,metric,value
1759783641.424,train,35,4071,ctc_loss,0.20001322031021118
1759783643.563,train,35,4072,ctc_loss,0.20586246252059937
1759783645.686,train,35,4073,ctc_loss,0.20052102208137512
1759783647.738,train,35,4074,ctc_loss,0.22021369636058807
1759783649.800,train,35,4075,ctc_loss,0.20403218269348145
1759783651.946,train,35,4076,ctc_loss,0.21149234473705292
1759783654.007,train,35,4077,ctc_loss,0.21616607904434204
1759783656.108,train,35,4078,ctc_loss,0.23108768463134766
1759783658.424,train,35,4079,ctc_loss,0.2357489913702011
1759783660.806,train,35,4080,ctc_loss,0.211046501994133
1759783663.007,train,35,4081,ctc_loss,0.21851861476898193
1759783665.093,train,35,4082,ctc_loss,0.2196679711341858
1759783667.201,train,35,4083,ctc_loss,0.21724334359169006
1759783669.276,train,35,4084,ctc_loss,0.20316845178604126
1759783671.444,train,35,4085,ctc_loss,0.2073357105255127
1759783673.606,train,35,4086,ctc_loss,0.2226945161819458
1759783675.775,train,35,4087,ctc_loss,0.20790402591228485
1759783677.904,train,35,4088,ctc_loss,0.21170876920223236
1759783680.276,train,35,4089,ctc_loss,0.21029536426067352
1759783682.355,train,35,4090,ctc_loss,0.21281206607818604
1759783684.413,train,35,4091,ctc_loss,0.21651867032051086
1759783686.691,train,35,4092,ctc_loss,0.20968450605869293
1759783688.794,train,35,4093,ctc_loss,0.22319458425045013
1759783690.950,train,35,4094,ctc_loss,0.20648884773254395
1759783693.125,train,35,4095,ctc_loss,0.20457607507705688
1759783695.313,train,35,4096,ctc_loss,0.21762895584106445
1759783697.674,train,35,4097,ctc_loss,0.2111625373363495
1759783699.925,train,35,4098,ctc_loss,0.2242840826511383
1759783702.060,train,35,4099,ctc_loss,0.21519134938716888
1759783704.133,train,35,4100,ctc_loss,0.20588544011116028
1759783706.403,train,35,4101,ctc_loss,0.22305387258529663
1759783708.464,train,35,4102,ctc_loss,0.2246343493461609
1759783710.621,train,35,4103,ctc_loss,0.2114766240119934
1759783713.012,train,35,4104,ctc_loss,0.22180390357971191
1759783715.133,train,35,4105,ctc_loss,0.21362265944480896
1759783717.246,train,35,4106,ctc_loss,0.19569432735443115
1759783719.409,train,35,4107,ctc_loss,0.23229551315307617
1759783721.676,train,35,4108,ctc_loss,0.2170121967792511
1759783723.739,train,35,4109,ctc_loss,0.2278059422969818
1759783725.876,train,35,4110,ctc_loss,0.2141655683517456
1759783727.954,train,35,4111,ctc_loss,0.20318567752838135
1759783730.103,train,35,4112,ctc_loss,0.21067655086517334
1759783732.220,train,35,4113,ctc_loss,0.21796511113643646
1759783734.387,train,35,4114,ctc_loss,0.23109330236911774
1759783736.637,train,35,4115,ctc_loss,0.20416277647018433
1759783738.760,train,35,4116,ctc_loss,0.23233266174793243
1759783740.933,train,35,4117,ctc_loss,0.22252827882766724
1759783743.135,train,35,4118,ctc_loss,0.2124447077512741
1759783745.341,train,35,4119,ctc_loss,0.21256470680236816
1759783747.430,train,35,4120,ctc_loss,0.2188178300857544
1759783749.525,train,35,4121,ctc_loss,0.2147718071937561
1759783751.604,train,35,4122,ctc_loss,0.21344828605651855
1759783753.832,train,35,4123,ctc_loss,0.2282809317111969
1759783755.805,train,35,4124,ctc_loss,0.22794094681739807
1759783758.009,train,35,4125,ctc_loss,0.21235772967338562
1759783759.999,train,35,4126,ctc_loss,0.21130135655403137
1759783761.987,train,35,4127,ctc_loss,0.22680453956127167
1759783763.930,train,35,4128,ctc_loss,0.21733687818050385
1759783765.873,train,35,4129,ctc_loss,0.21322312951087952
1759783767.265,train,35,4130,ctc_loss,0.23700259625911713
1759783825.664,val,35,4130,ctc_loss,0.2829451821744442
1759783825.664,val,35,4130,cer,0.09540063573806677
1759783831.381,train,36,4131,ctc_loss,0.18938414752483368
1759783833.419,train,36,4132,ctc_loss,0.21570828557014465
1759783835.563,train,36,4133,ctc_loss,0.2250848263502121
1759783837.603,train,36,4134,ctc_loss,0.21034657955169678
1759783839.683,train,36,4135,ctc_loss,0.2236017882823944
1759783841.803,train,36,4136,ctc_loss,0.21492502093315125
1759783843.890,train,36,4137,ctc_loss,0.2060495913028717
1759783846.014,train,36,4138,ctc_loss,0.2085292935371399
1759783848.094,train,36,4139,ctc_loss,0.23368290066719055
1759783850.119,train,36,4140,ctc_loss,0.20572428405284882
1759783852.142,train,36,4141,ctc_loss,0.212739497423172
1759783854.236,train,36,4142,ctc_loss,0.207087442278862
1759783856.442,train,36,4143,ctc_loss,0.21762637794017792
1759783858.644,train,36,4144,ctc_loss,0.22185775637626648
1759783860.953,train,36,4145,ctc_loss,0.185466468334198
1759783863.210,train,36,4146,ctc_loss,0.21183761954307556
1759783865.337,train,36,4147,ctc_loss,0.2044529914855957
1759783867.744,train,36,4148,ctc_loss,0.1998811960220337
1759783870.066,train,36,4149,ctc_loss,0.20471277832984924
1759783872.148,train,36,4150,ctc_loss,0.2168472409248352
1759783874.360,train,36,4151,ctc_loss,0.21579135954380035
1759783876.507,train,36,4152,ctc_loss,0.1882951259613037
1759783878.518,train,36,4153,ctc_loss,0.2215489000082016
1759783880.553,train,36,4154,ctc_loss,0.20295636355876923
1759783882.833,train,36,4155,ctc_loss,0.19131901860237122
1759783884.906,train,36,4156,ctc_loss,0.21353554725646973
1759783887.142,train,36,4157,ctc_loss,0.206697478890419
1759783889.292,train,36,4158,ctc_loss,0.21487881243228912
1759783891.512,train,36,4159,ctc_loss,0.2260003238916397
1759783893.645,train,36,4160,ctc_loss,0.20655518770217896
1759783895.668,train,36,4161,ctc_loss,0.20681942999362946
1759783897.903,train,36,4162,ctc_loss,0.22625622153282166
1759783900.301,train,36,4163,ctc_loss,0.20305943489074707
1759783902.340,train,36,4164,ctc_loss,0.21973174810409546
1759783904.607,train,36,4165,ctc_loss,0.2189294993877411
1759783906.873,train,36,4166,ctc_loss,0.2138272523880005
1759783908.985,train,36,4167,ctc_loss,0.19541656970977783
1759783910.993,train,36,4168,ctc_loss,0.21869130432605743
1759783913.076,train,36,4169,ctc_loss,0.19316431879997253
1759783915.168,train,36,4170,ctc_loss,0.2071818709373474
1759783917.187,train,36,4171,ctc_loss,0.20570996403694153
1759783919.211,train,36,4172,ctc_loss,0.20093533396720886
1759783921.401,train,36,4173,ctc_loss,0.19844475388526917
1759783923.451,train,36,4174,ctc_loss,0.20778825879096985
1759783925.585,train,36,4175,ctc_loss,0.2159702479839325
1759783927.762,train,36,4176,ctc_loss,0.2159903645515442
1759783929.881,train,36,4177,ctc_loss,0.21698129177093506
1759783932.049,train,36,4178,ctc_loss,0.20814168453216553
1759783934.160,train,36,4179,ctc_loss,0.20269404351711273
1759783936.222,train,36,4180,ctc_loss,0.2160988748073578
